PlotID,YearMeas,AgeMeas,BA,height,stem_count,SI,ba_sd,height_sd,stem_count_sd,SI_sd,FID,Installation,PLOT,PlantDensity,Replicate,Culture,Treatment,Thinning
,1988,18,115.1498584,44.2,468.8995215,52.05282577,1,0.687355102,10,1,340,0,61141,0,0,0,0,1
,1991,21,121.5344308,47.81818182,459.3301435,52.05282577,1,0.743621521,10,1,340,0,61141,0,0,0,0,1
,1994,24,130.5014331,52.04761905,440.1913876,52.05282577,1,0.809393586,10,1,340,0,61141,0,0,0,0,1
,2000,30,130.841199,57.45945946,382.7751196,52.05282577,1,0.893553227,10,1,340,0,61141,0,0,0,0,1
,1982,15,103.0451099,40.42222222,468.8995215,59.73453531,1,0.628606803,10,1,340,0,61171,0,0,0,0,1
,1982,25,136.2139371,53.6122449,568.4210526,53.21365549,1,0.833725115,10,1,341,0,61181,0,0,0,0,1
,1988,31,72.09613895,61.31578947,221.0526316,53.21365549,1,0.953523093,10,1,341,0,61181,0,0,0,0,1
,1982,28,140.9198779,56.55555556,505.2631579,52.17602416,1,0.879496599,10,1,341,0,61211,0,0,0,0,1
,1997,17,145.3844621,51.83333333,477.326969,68.37282914,1,0.806061224,10,1,342,0,30921,827.3667,0,0,0,1
,1982,14,114.7531146,33.58888889,795.5449483,48.07240939,1,0.522341497,10,1,342,0,31041,827.3667,0,0,0,1
,1988,20,142.4730587,42.60493827,708.035004,48.07240939,1,0.662550265,10,1,342,0,31041,827.3667,0,0,0,1
,1991,23,142.7854597,45.75714286,604.6141607,48.07240939,1,0.711570262,10,1,342,0,31041,827.3667,0,0,0,1
,1994,26,149.7927866,48.82258065,525.0596659,48.07240939,1,0.759240948,10,1,342,0,31041,827.3667,0,0,0,1
,2000,32,153.3619675,57.90740741,469.3715195,48.07240939,1,0.900519274,10,1,342,0,31041,827.3667,0,0,0,1
,2003,35,158.9270434,60.95883458,469.3715195,48.07240939,1,0.947972081,10,1,342,0,31041,827.3667,0,0,0,1
,1982,17,135.5724687,38.67441861,755.7677009,52.19948338,1,0.601426673,10,1,342,0,31071,827.3667,0,0,0,1
,1997,17,184.7980032,61.85714286,542.2222222,80.41044805,1,0.961941691,10,1,345,0,30961,1048.8889,0,0,0,1
,1982,14,124.935384,36.7244898,942.2222222,53.70215409,1,0.57110329,10,1,345,0,31081,1048.8889,0,0,0,1
,1988,20,155.7303648,47.8125,782.2222222,53.70215409,1,0.743533163,10,1,345,0,31081,1048.8889,0,0,0,1
,1991,23,171.8814768,49.2962963,773.3333333,53.70215409,1,0.76660771,10,1,345,0,31081,1048.8889,0,0,0,1
